Physical flow account for greenhouse gas emissions c 1 2 3 4 5 6 7 8 9 10 11,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Table: 38-10-0097-01 (formerly CANSIM 153-0114),,,,,,,,,,,
Release date: 2023-12-20,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Other municipal government services  [GS91300],8,11,30,38,21,16,14,14,10,11
,Other aboriginal government services  [GS91400],0,0,0,0,0,0,0,0,0,0
,"Total, households",28,33,63,92,63,56,46,41,33,36
,Households: Motor fuels and lubricants,17,21,22,24,28,27,22,22,20,22
,Households: Electricity and other fuels,11,12,41,69,35,29,24,19,14,13
,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,
.., not available for a specific reference period,,,,,,,,,,
0s,value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Table Corrections:,,,,,,,,,,,
Date,Note,,,,,,,,,,
,"On February 28, 2023, a correction was made to some balancing items (biomass, motor fuels, synthetic fluorinated gases and non-energy products from fuels and solvent use) for some provinces and territories (Newfoundland and Labrador, Nova Scotia, Quebec, Manitoba, Saskatchewan, Alberta, British Columbia, Yukon and Nunavut) for years 2009 to 2020.",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Footnotes:,,,,,,,,,,,
1,"Data source: Statistics Canada, Environment Accounts and Statistics Division.
",,,,,,,,,,
2,Carbon dioxide equivalent emissions are estimated using global warming potentials for methane and nitrous oxide of 25 and 298 respectively.,,,,,,,,,,
3,Emission sources included in these estimates: combustion of fossil fuels and biomass; non-combustion uses of fossil fuels; industrial processes; agricultural soils; livestock manure and enteric fermentation.,,,,,,,,,,
4,"The supply and use tables are built around three classification systems, namely the Input-Output Industry Classification (IOIC) for industries, the Supply and Use Product Classification (SUPC) for products (goods and services), and the Input-Output Final Demand Classification (IOFDC) for final demand categories. The Input-Output Industry Classification (IOIC) is based on the North American Industry Classification System (NAICS) and the Supply and Use Product Classification (SUPC) is based on the North American Products Classification System (NAPCS). The Input-Output Final Demand Classification is based on the Classification of Individual Consumption by Purpose (COICOP) for the personal expenditure categories and the North American Industry Classification (NAICS) for the gross fixed capital formation categories.  This table is published at the link 1961 level of the supply and use tables.",,,,,,,,,,
5,"The alphanumeric codes appearing in square brackets beside each industry title represent the Input-Output Industry Classification (IOIC) codes. The IOIC identifies both institutional sectors and industries based on the North American Industry Classification System (NAICS). The first two characters of the IOIC alphanumeric codes represent the sector. IOIC codes beginning with a BS represent business sector industries, codes beginning with an NP represent Non-Profit Institutions Serving Household (NPISH) sector industries, and codes beginning with a GS represent government sector industries.",,,,,,,,,,
6,This table replaces table 38-10-0111-01.,,,,,,,,,,
7,Totals may not add due to rounding.,,,,,,,,,,
8,"For more information on the concepts, sources and methods, please consult the <a href=https://www150.statcan.gc.ca/n1/pub/16-509-x/2016001/29-eng.htm"" rel=""external noopener noreferrer"" target=""_blank"">Greenhouse gas emissions account (opens new window)</a> Greenhouse gas emissions account</a> section of the Methodological guide: Canadian System of Environmental-Economic Accounting (<a href=""https://www150.statcan.gc.ca/n1/en/catalogue/16-509-X"" rel=""external noopener noreferrer"" target=""_blank"">16-509-X (opens new window))</a>.""",,,,,,,,,,
9,"As of January 2019, in addition to national data, preliminary estimates for the greenhouse gas emissions account are available for each province and territory.",,,,,,,,,,
10,Data for 2009 to 2020 were revised in December 2023.,,,,,,,,,,
11,"As of reference year 2014, the classifications of the supply and use tables have been modified to include cannabis related industries.",,,,,,,,,,
12,"Emissions from biomass (wood and spent pulping liquor), which are included in the greenhouse gas account estimates, represent a significant proportion of emissions in both the wood product manufacturing and pulp, paper and paperboard mills industries.",,,,,,,,,,
13,"As of the December 2014 release of the physical flow accounts, industries BS32520 and BS325A0 have been merged into a single industry BS325C0 (Miscellaneous chemical product manufacturing).",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
How to cite: Statistics Canada. Table 38-10-0097-01  Physical flow account for greenhouse gas emissions,,,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810009701,,,,,,,,,,,
